NCHILD,NCHLT5,SEX,AGE,MARST,RACE,RACED,HISPAN,EDUC,EMPSTAT,INCWAGE,VETSTAT
3,1,1,33,1,3,302,0,6,1,26000,1
3,1,2,32,1,3,302,0,6,1,28800,1
4,0,1,48,1,8,802,0,10,1,160000,1
4,0,2,46,1,1,100,0,10,1,16000,1
0,0,1,18,6,1,100,0,7,1,8000,1
2,1,1,47,1,1,100,0,10,1,140000,2
2,1,2,41,1,1,100,0,11,1,398000,1
0,0,1,43,2,1,100,0,6,1,12500,1
0,0,2,64,6,1,100,0,6,1,21000,1
3,1,1,35,1,8,826,1,6,1,35000,1
0,0,2,28,6,1,100,0,6,1,0,1
0,0,1,33,4,1,100,0,6,1,17000,2
4,0,1,45,1,1,100,0,6,1,33000,1
4,0,2,47,1,1,100,0,10,1,38000,1
0,0,1,25,6,1,100,1,6,1,42000,1
0,0,2,18,6,1,100,0,6,1,1800,1
0,0,1,24,1,1,100,0,6,1,10000,1
0,0,2,24,1,1,100,0,6,1,45000,1
0,0,1,18,6,8,826,1,6,1,20000,1
3,0,2,49,1,2,200,0,7,1,20000,1
3,0,1,48,1,2,200,0,6,1,23000,1
0,0,1,21,6,2,200,0,7,1,25000,1
2,0,2,47,3,1,100,0,7,1,0,1
2,0,1,49,1,1,100,0,10,1,0,1
2,0,2,51,1,1,100,0,11,1,52000,1
2,1,2,26,1,1,100,0,7,1,12000,1
2,1,1,28,1,1,100,0,6,1,40000,2
4,0,1,39,1,6,689,0,6,1,8000,1
4,0,1,36,1,6,689,0,6,1,45000,1
0,0,2,62,1,1,100,0,6,1,35400,1
0,0,1,33,6,1,100,0,10,1,50000,1
0,0,1,54,1,1,100,0,6,1,120000,1
1,0,2,57,5,1,100,0,7,1,51000,1
0,0,1,23,6,1,100,0,10,1,27000,1
0,0,1,50,4,8,802,0,7,1,40000,1
1,0,2,31,2,1,100,0,6,1,25100,1
0,0,1,61,1,1,100,1,1,1,24000,1
0,0,1,54,1,1,100,0,11,1,60000,2
0,0,1,23,6,1,100,0,10,1,29000,1
0,0,1,22,6,6,630,4,10,1,12000,1
0,0,1,22,6,8,802,0,7,1,10000,1
1,0,1,41,1,6,640,0,11,1,82000,1
1,1,2,27,1,1,100,0,10,1,39000,1
1,1,1,29,1,1,100,0,11,1,56000,1
3,0,1,41,1,2,200,0,6,1,30000,1
3,0,2,36,1,2,200,0,7,1,25800,1
1,0,1,60,1,1,100,0,10,1,60000,1
1,0,2,57,1,1,100,0,7,1,5700,1
3,2,2,24,1,1,100,0,6,1,7000,1
3,2,1,40,1,1,100,0,6,1,60000,1
0,0,2,53,1,1,100,0,6,1,60000,1
2,0,2,40,1,1,100,0,11,1,120000,1
2,0,1,43,1,1,100,0,10,1,100000,1
0,0,1,60,3,1,100,0,6,1,35000,1
0,0,2,60,1,1,100,0,6,1,0,1
0,0,2,53,1,1,100,0,6,1,30000,1
0,0,1,49,1,1,100,0,6,1,44000,1
0,0,1,48,6,1,100,0,6,1,0,1
2,0,1,39,1,1,100,0,8,1,110000,1
2,0,2,38,1,8,826,0,6,1,16000,1
1,0,1,41,3,1,100,0,7,1,36200,1
1,0,1,52,4,7,700,3,7,1,50000,1
0,0,1,29,6,7,700,3,6,1,3000,1
0,0,1,60,1,1,100,0,8,1,32700,1
5,0,2,47,1,8,826,4,11,1,65000,1
5,0,1,47,1,1,100,0,6,1,63000,1
0,0,2,56,1,1,100,0,6,1,35200,1
2,0,2,42,6,1,100,0,6,1,15000,1
0,0,1,18,6,8,801,0,4,1,8300,1
1,1,2,27,6,1,100,0,6,1,8400,1
0,0,2,24,1,1,100,0,10,1,8000,1
3,0,2,43,1,7,700,1,2,1,24000,1
3,0,1,51,1,3,304,0,3,1,15800,1
0,0,1,21,6,7,700,1,8,1,16300,1
0,0,1,28,6,1,100,4,7,1,25000,1
0,0,2,20,6,1,100,0,7,1,2400,1
0,0,1,19,6,7,700,1,6,1,19000,1
0,0,1,53,2,7,700,1,0,1,34000,1
0,0,1,20,6,1,100,0,6,1,19000,1
